filepath_original,filepath_processed,split,class,source_dataset
data/raw/train/normal/normal-3873.jpg,data/processed/train/normal/normal-3873.png,train,normal,unknown
data/raw/train/normal/normal-6820.jpg,data/processed/train/normal/normal-6820.png,train,normal,unknown
data/raw/train/normal/normal-1343.jpg,data/processed/train/normal/normal-1343.png,train,normal,unknown
data/raw/train/normal/normal-2337.jpg,data/processed/train/normal/normal-2337.png,train,normal,unknown
data/raw/train/normal/normal-6760.jpg,data/processed/train/normal/normal-6760.png,train,normal,unknown
data/raw/train/normal/normal-2429.jpg,data/processed/train/normal/normal-2429.png,train,normal,unknown
data/raw/train/normal/normal-3400.jpg,data/processed/train/normal/normal-3400.png,train,normal,unknown
data/raw/train/normal/normal-4625.jpg,data/processed/train/normal/normal-4625.png,train,normal,unknown
data/raw/train/normal/normal-5725.jpg,data/processed/train/normal/normal-5725.png,train,normal,unknown
data/raw/train/normal/normal-2547.jpg,data/processed/train/normal/normal-2547.png,train,normal,unknown
data/raw/train/normal/normal-2549.jpg,data/processed/train/normal/normal-2549.png,train,normal,unknown
data/raw/train/normal/normal-2449.jpg,data/processed/train/normal/normal-2449.png,train,normal,unknown
data/raw/train/normal/normal-5417.jpg,data/processed/train/normal/normal-5417.png,train,normal,unknown
data/raw/train/normal/normal-5282.jpg,data/processed/train/normal/normal-5282.png,train,normal,unknown
data/raw/train/normal/normal-1631.jpg,data/processed/train/normal/normal-1631.png,train,normal,unknown
data/raw/train/normal/normal-5174.jpg,data/processed/train/normal/normal-5174.png,train,normal,unknown
data/raw/train/normal/normal-8126.jpg,data/processed/train/normal/normal-8126.png,train,normal,unknown
data/raw/train/normal/normal-6754.jpg,data/processed/train/normal/normal-6754.png,train,normal,unknown
data/raw/train/normal/normal-1808.jpg,data/processed/train/normal/normal-1808.png,train,normal,unknown
data/raw/train/normal/normal-3418.jpg,data/processed/train/normal/normal-3418.png,train,normal,unknown
data/raw/train/normal/normal-5770.jpg,data/processed/train/normal/normal-5770.png,train,normal,unknown
data/raw/train/normal/normal-1854.jpg,data/processed/train/normal/normal-1854.png,train,normal,unknown
data/raw/train/normal/normal-3525.jpg,data/processed/train/normal/normal-3525.png,train,normal,unknown
data/raw/train/normal/normal-1054.jpg,data/processed/train/normal/normal-1054.png,train,normal,unknown
data/raw/train/normal/normal-7859.jpg,data/processed/train/normal/normal-7859.png,train,normal,unknown
data/raw/train/normal/normal-4114.jpg,data/processed/train/normal/normal-4114.png,train,normal,unknown
data/raw/train/normal/normal-8042.jpg,data/processed/train/normal/normal-8042.png,train,normal,unknown
data/raw/train/normal/normal-2274.jpg,data/processed/train/normal/normal-2274.png,train,normal,unknown
data/raw/train/normal/normal-4441.jpg,data/processed/train/normal/normal-4441.png,train,normal,unknown
data/raw/train/normal/normal-2862.jpg,data/processed/train/normal/normal-2862.png,train,normal,unknown
data/raw/train/normal/normal-2505.jpg,data/processed/train/normal/normal-2505.png,train,normal,unknown
data/raw/train/normal/normal-7767.jpg,data/processed/train/normal/normal-7767.png,train,normal,unknown
data/raw/train/normal/normal-5068.jpg,data/processed/train/normal/normal-5068.png,train,normal,unknown
data/raw/train/normal/normal-1139.jpg,data/processed/train/normal/normal-1139.png,train,normal,unknown
