filepath_original,filepath_quarantine,split,class,reason
data/raw/train/normal/normal-5567.jpg,data/quarantine/flagged/train/normal/normal-5567.jpg,train,normal,Filtered: Abnormal Aspect Ratio (1.98)
data/raw/train/normal/normal-6059.jpg,data/quarantine/flagged/train/normal/normal-6059.jpg,train,normal,Filtered: Abnormal Aspect Ratio (2.03)
data/raw/train/normal/normal-6458.jpg,data/quarantine/flagged/train/normal/normal-6458.jpg,train,normal,Filtered: Abnormal Aspect Ratio (2.11)
data/raw/train/pneumonia/pneumonia-2727.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-2727.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (1.95)
data/raw/train/pneumonia/pneumonia-2905.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-2905.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.38)
data/raw/train/pneumonia/pneumonia-4342.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-4342.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.41)
data/raw/train/pneumonia/pneumonia-1480.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-1480.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.17)
data/raw/train/pneumonia/pneumonia-5005.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-5005.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (3.18)
data/raw/train/pneumonia/pneumonia-2732.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-2732.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.21)
data/raw/train/pneumonia/pneumonia-1123.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-1123.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.00)
data/raw/train/pneumonia/pneumonia-889.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-889.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (1.97)
data/raw/train/pneumonia/pneumonia-2150.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-2150.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.03)
data/raw/train/pneumonia/pneumonia-1909.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-1909.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.27)
data/raw/train/pneumonia/pneumonia-2982.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-2982.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (1.96)
data/raw/train/pneumonia/pneumonia-4448.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-4448.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (1.99)
data/raw/train/pneumonia/pneumonia-3749.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-3749.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (1.96)
data/raw/train/pneumonia/pneumonia-4113.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-4113.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.05)
data/raw/train/pneumonia/pneumonia-5115.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-5115.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.33)
data/raw/train/pneumonia/pneumonia-1907.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-1907.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.06)
data/raw/train/pneumonia/pneumonia-4038.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-4038.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (1.96)
data/raw/train/pneumonia/pneumonia-2586.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-2586.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.09)
data/raw/train/pneumonia/pneumonia-4964.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-4964.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.23)
data/raw/train/pneumonia/pneumonia-1137.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-1137.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (3.03)
data/raw/train/pneumonia/pneumonia-2957.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-2957.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.08)
data/raw/train/pneumonia/pneumonia-751.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-751.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (1.98)
data/raw/train/pneumonia/pneumonia-2969.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-2969.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.22)
data/raw/train/pneumonia/pneumonia-4915.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-4915.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.45)
data/raw/train/pneumonia/pneumonia-927.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-927.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.39)
data/raw/train/pneumonia/pneumonia-2562.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-2562.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.15)
data/raw/train/pneumonia/pneumonia-1886.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-1886.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.12)
data/raw/train/pneumonia/pneumonia-3546.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-3546.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.24)
data/raw/train/pneumonia/pneumonia-2238.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-2238.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.43)
data/raw/train/pneumonia/pneumonia-2394.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-2394.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.24)
data/raw/train/pneumonia/pneumonia-3557.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-3557.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.07)
data/raw/train/pneumonia/pneumonia-3007.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-3007.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (1.97)
data/raw/train/pneumonia/pneumonia-1441.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-1441.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.63)
data/raw/train/pneumonia/pneumonia-947.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-947.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.32)
data/raw/train/pneumonia/pneumonia-4101.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-4101.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.04)
data/raw/train/pneumonia/pneumonia-950.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-950.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.04)
data/raw/train/pneumonia/pneumonia-1923.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-1923.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (1.96)
data/raw/train/pneumonia/pneumonia-3416.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-3416.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (1.96)
data/raw/train/pneumonia/pneumonia-3032.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-3032.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.91)
data/raw/train/pneumonia/pneumonia-2316.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-2316.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.43)
data/raw/train/pneumonia/pneumonia-3966.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-3966.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.00)
data/raw/train/pneumonia/pneumonia-3872.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-3872.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.38)
data/raw/train/pneumonia/pneumonia-1422.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-1422.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.00)
data/raw/train/pneumonia/pneumonia-2493.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-2493.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.14)
data/raw/train/pneumonia/pneumonia-4077.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-4077.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.07)
data/raw/train/pneumonia/pneumonia-624.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-624.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (1.97)
data/raw/train/pneumonia/pneumonia-4054.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-4054.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.00)
data/raw/train/pneumonia/pneumonia-3645.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-3645.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.96)
data/raw/train/pneumonia/pneumonia-3349.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-3349.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (1.98)
data/raw/train/pneumonia/pneumonia-2087.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-2087.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.07)
data/raw/train/pneumonia/pneumonia-975.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-975.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.31)
data/raw/train/pneumonia/pneumonia-1470.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-1470.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.22)
data/raw/train/pneumonia/pneumonia-1638.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-1638.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.71)
data/raw/train/pneumonia/pneumonia-4453.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-4453.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.58)
data/raw/train/pneumonia/pneumonia-3325.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-3325.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.41)
data/raw/train/pneumonia/pneumonia-5224.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-5224.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.20)
data/raw/train/pneumonia/pneumonia-4092.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-4092.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (1.99)
data/raw/train/pneumonia/pneumonia-1920.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-1920.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (1.97)
data/raw/train/pneumonia/pneumonia-1935.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-1935.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.87)
data/raw/train/pneumonia/pneumonia-4433.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-4433.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.16)
data/raw/train/pneumonia/pneumonia-3259.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-3259.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.09)
data/raw/train/pneumonia/pneumonia-2608.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-2608.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.10)
data/raw/train/pneumonia/pneumonia-4956.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-4956.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.07)
data/raw/train/pneumonia/pneumonia-2780.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-2780.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.07)
data/raw/train/pneumonia/pneumonia-3903.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-3903.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.11)
data/raw/train/pneumonia/pneumonia-3074.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-3074.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (3.15)
data/raw/train/pneumonia/pneumonia-4268.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-4268.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.06)
data/raw/train/pneumonia/pneumonia-2627.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-2627.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (1.96)
data/raw/train/pneumonia/pneumonia-1220.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-1220.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.20)
data/raw/train/pneumonia/pneumonia-5000.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-5000.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.51)
data/raw/train/pneumonia/pneumonia-3717.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-3717.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.03)
data/raw/train/pneumonia/pneumonia-3894.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-3894.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.65)
data/raw/train/pneumonia/pneumonia-3692.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-3692.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.25)
data/raw/train/pneumonia/pneumonia-3551.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-3551.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.40)
data/raw/train/pneumonia/pneumonia-3505.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-3505.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.00)
data/raw/train/pneumonia/pneumonia-1618.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-1618.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (1.97)
data/raw/train/pneumonia/pneumonia-2795.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-2795.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.52)
data/raw/train/pneumonia/pneumonia-709.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-709.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (1.97)
data/raw/train/pneumonia/pneumonia-833.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-833.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (1.96)
data/raw/train/pneumonia/pneumonia-5105.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-5105.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.29)
data/raw/train/pneumonia/pneumonia-605.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-605.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (1.97)
data/raw/train/pneumonia/pneumonia-3852.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-3852.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (3.15)
data/raw/train/pneumonia/pneumonia-3884.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-3884.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (1.95)
data/raw/train/pneumonia/pneumonia-3296.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-3296.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.02)
data/raw/train/pneumonia/pneumonia-1127.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-1127.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (1.98)
data/raw/train/pneumonia/pneumonia-3383.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-3383.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.02)
data/raw/train/pneumonia/pneumonia-4428.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-4428.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.23)
data/raw/train/pneumonia/pneumonia-993.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-993.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.13)
data/raw/train/pneumonia/pneumonia-5061.jpg,data/quarantine/flagged/train/pneumonia/pneumonia-5061.jpg,train,pneumonia,Filtered: Abnormal Aspect Ratio (2.07)
